date,time,location_X,location_Y,lat,lon,mag,place,type
2023-02-19,17:52:48,250133.5618804843,594116.619644135,53.325,6.815,0.4,Appingedam,induced earthquake
2023-02-08,13:47:21,249069.72124808936,573501.8029339174,53.14,6.793,1.6,Sappemeer,induced earthquake
2023-01-31,14:09:06,246237.5961668516,595710.710283394,53.34,6.757,1.2,Loppersum,induced earthquake
2023-01-22,02:13:36,250944.16359737745,583557.2921032786,53.23,6.824,0.3,Schildwolde,induced earthquake
2023-01-15,09:49:09,244774.30012301932,599134.0092831725,53.371,6.736,1.8,Garsthuizen,induced earthquake
2023-01-03,09:38:31,244774.30012301932,599134.0092831725,53.371,6.736,1.3,Garsthuizen,induced earthquake
2022-12-28,21:33:14,238405.73912121964,586328.9086454842,53.257,6.637,0.4,Thesinge,induced earthquake
2022-12-26,16:18:17,244389.35785847864,594785.3290249308,53.332,6.729,1,Loppersum,induced earthquake
2022-12-22,23:04:47,246986.84747682777,580919.6897076002,53.207,6.764,1.9,Froombosch,induced earthquake
2022-12-20,14:51:23,247831.8763878064,592513.0183561516,53.311,6.78,0.4,Garrelsweer,induced earthquake
2022-12-14,20:08:37,245337.4989917019,583337.3793637576,53.229,6.74,1,Woudbloem,induced earthquake
2022-12-06,11:08:43,248980.109702262,591756.130343304,53.304,6.797,1.7,Wirdum,induced earthquake
2022-12-04,15:36:02,252222.99891110207,576458.592457022,53.166,6.841,0.9,Zuidbroek,induced earthquake
2022-12-04,07:31:42,238886.45213220431,585558.085127691,53.25,6.644,0.6,Garmerwolde,induced earthquake
2022-11-03,18:29:53,236520.27299069223,587298.3600421213,53.266,6.609,0.6,Zuidwolde,induced earthquake
2022-10-26,07:16:28,248678.7073265288,593531.3696797503,53.32,6.793,1.1,Wirdum,induced earthquake
2022-10-22,14:32:51,248678.7073265288,593531.3696797503,53.32,6.793,1,Wirdum,induced earthquake
2022-10-22,10:14:04,248747.51419142156,593421.3930427638,53.319,6.794,2.2,Wirdum,induced earthquake
2022-10-14,22:02:28,247146.17595133523,593501.6786559493,53.32,6.77,0.4,Garrelsweer,induced earthquake
2022-10-13,16:08:48,247485.77300413465,593174.2544854248,53.317,6.775,1.4,Wirdum,induced earthquake
2022-10-11,15:36:39,241652.36473175988,602416.0931177244,53.401,6.69,1.3,Uithuizen,induced earthquake
2022-10-08,05:35:36,247214.94754954104,593391.6802369022,53.319,6.771,1.2,Garrelsweer,induced earthquake
2022-10-08,02:17:17,247281.5810216253,593392.9619144595,53.319,6.772,3.1,Wirdum,induced earthquake
2022-09-24,11:37:29,241722.9066289242,602194.7303612969,53.399,6.691,1.7,Uithuizen,induced earthquake
2022-09-24,10:20:38,241791.4360111907,602084.6525553282,53.398,6.692,2.7,Uithuizen,induced earthquake
2022-09-22,04:07:39,253240.9063974379,588835.7660962146,53.277,6.86,1.1,Tjuchem,induced earthquake
